Unemployment averaged 3.2 per cent for the year as a whole, sustaining a state of full employment.	失业率全年平均在百分之三点二的低位，维持全民就业。
We need to take timely and appropriate measures to stimulate the economy, support local enterprises and safeguard employment."	我们需要及时采取适当措施，提振经济，支持本地企业，保障市民就业。」
On government finances, the revised estimate on government revenue in 2016-17 is $559.5 billion, 12 per cent or $61.3 billion higher than the original estimate. This is due mainly to the increase in revenue from land sales and stamp duty.	至于在政府财政方面，陈茂波预计二零一六／一七年度政府收入的修订预算为5,595亿元，较原来预算高百分之十二，即613亿元，主要反映卖地和印花税收入的增加。
In the afternoon, Mr Chan first met with Mr Benjamin Soffer, Head of Technion Technology Transfer office of AMIT.	下午，陈茂波先与AMIT技术转移办公室主管Benjamin Soffer会面。
During the session, Chairman of Hong Kong's BFAC Mr Anthony Nightingale, shared with delegates the successes and experience of business facilitation work in Hong Kong.	在此环节中，方咨会主席黎定基和与会代表分享香港方便营商工作的成就及经验。
Mr Tsang concluded the day by having a meeting with the Chairman of the Australian Securities and Investment Commission, Mr Greg Medcraft.	曾俊华最后与澳洲证券及投资事务监督委员会主席Greg Medcraft会面。
Joined by a high-level business delegation, Mr Tsang is on a visit to Latin America from December 1 to 8.  They will visit Santiago, Chile from December 1 to 4 and Brazil from December 5 to 8.	曾俊华与高层商贸代表团于十二月一日至八日访问拉丁美洲。 他们于十二月一日至四日访问智利圣地亚哥，并在十二月五日至八日转到巴西访问。
(b) does not own any property in Hong Kong;	(二)，没有在香港拥有任何物业。
As to the new HKMA Chief Executive's appointment, and his terms and conditions of service, I have decided to make the following new arrangements :	就金管局总裁的任期、聘任条件，我在咨询「管治委员会」的意见之后，决定以下的新安排：
Non-official Members (16)	非官方委员（16人）
The Financial Secretary has just announced the 2011-12 Budget.	财政司司长刚刚发表二○一一至一二年财政预算案。
One is economic performance, second is government effectiveness, the third one is business effectiveness and the fourth one is infrastructure.	第一个是经济表现，第二个就是基础设施。
Together with representatives of the HKMA, the SFC, the Insurance Authority, Hong Kong Exchange and the MPFA, I have briefed them on what action the Government and the regulatory bodies have taken to address the situation.Much of what I said in the briefing have in fact been covered in my media sessions in the past few days.	我也向他们汇报政府、金管局、证监会、保监处、交易所和积金局所采取的行动。 刚才汇报的内容，或者我略略向大家讲讲。
Mr Tsang said the Government would step up efforts to help people and companies make the most of the opportunities of a green economy.	曾俊华说，政府会致力协助市民和企业开拓绿色经济机遇。
Mr Tsang also held bilateral meetings with his counterparts from Indonesia and Peru on October 14 (Lima time).	曾俊华在十月十四日（利马时间）先后与印尼和秘鲁的官员举行双边会议。
In support of elite athletes, Mr Chan said he would add a further $5 billion to the Elite Athletes Development Fund.	他将向精英运动员发展基金额外注资50亿元，支持精英运动发展。
Ends/Thursday, February 28, 2013Issued at HKT 23:15	２０１３年２月２８日（星期四）香港时间２２时１４分
FS attends IMF and WB Annual Meetings in Washington (with photos)	财政司司长在华盛顿出席国际货币基金组织和世界银行集团年会（附图）
The Financial Secretary, Mr John C Tsang, will present the 2011-12 Budget to the Legislative Council at 11am tomorrow (February 23).	财政司司长曾俊华将于明日（二月二十三日）上午十一时在立法会发表二○一一至一二年度财政预算案。
Noting Hong Kong's "substantial fiscal surplus this year", Mr Chan introduced a variety of initiatives to share the fruits of economic success with the community.	陈茂波说，考虑到政府今年财政盈余丰厚，他会推出以下措施，与市民分享经济成果，包括：
The main topic of discussion at the Finance Ministers' Retreat is the fiscal consolidation policies and sustainability of public debt, and how to promote sustainable economic growth through a stable fiscal policy.	财长非正式会议主要讨论整固政府财政和公共债务的可持续性，以及如何利用稳健的财政政策带动经济持续发展。
Members will also resume the Second Reading debate on the Kowloon Tong Church of the Chinese Christian and Missionary Alliance Incorporation (Amendment) Bill 2014. If the Bill is supported by Members and receives its Second Reading, it will then go through the Committee stage and be read the third time.	议员亦将恢复二读辩论《2014年香港九龙塘基督教中华宣道会法团（修订）条例草案》，法案若获得议员支持及通过二读，将会进入全体委员会审议阶段并进行三读。
In recent years, he is active in promoting youth exchanges between Hong Kong and Taiwan. He has organised large-scale exchange programmes and related activities to deepen the understanding of young people on the Mainland, Hong Kong and Taiwan.	近年他更积极推动港台青年的交流，组织大规模的交流计划及其他活动，让青少年加深对两岸三地的认识。
Mr Tsang will also take the opportunity to hold bilateral meetings with his counterparts in other APEC economies.	曾俊华会趁机与其他亚太经合组织成员举行双边会议。
